,-1,-0.3,0,0.3,1,MEMO
1.008|-1.0|0.995|-2.4|0.980|-3.3|0.998|-1.8|0.977|-2.3|,0.0,2.7351552523668944e-06,0.0,0.0,0.0,1.0
1.008|-1.0|0.994|-2.4|0.980|-3.2|0.997|-1.8|0.977|-2.3|,0.08892941492113374,0.0,0.0,0.0,0.0,4.0
1.009|-1.0|0.996|-2.5|0.982|-3.3|0.999|-1.8|0.978|-2.3|,0.0,0.0,0.0,0.0,3.946308276283617e-05,1.0
1.010|-1.0|0.997|-2.5|0.983|-3.3|0.999|-1.9|0.978|-2.3|,0.0,0.0,0.008988365135016864,0.026652714796319612,0.0,4.0
1.011|-1.0|0.998|-2.5|0.983|-3.3|1.000|-1.9|0.978|-2.3|,0.0,0.11469653303297166,0.0,0.0,0.0,6.0
1.010|-1.0|0.997|-2.5|0.983|-3.3|1.000|-1.9|0.978|-2.3|,0.0,0.0,0.0,0.12334919659220787,0.0,5.0
1.011|-1.0|0.998|-2.5|0.983|-3.3|0.999|-1.8|0.978|-2.3|,0.0,0.0,0.0,0.0,-2.233751521828253e-05,1.0
1.012|-1.0|0.999|-2.5|0.984|-3.3|1.000|-1.9|0.978|-2.3|,-2.708228147071168e-05,0.0,4.81715633341433,0.01798810193424458,0.0,36.0
1.012|-1.0|0.999|-2.5|0.985|-3.3|1.000|-1.9|0.978|-2.3|,-1.1984503006488013e-05,0.4190915980942045,0.0,7.630577000270478e-06,0.0,7.0
1.011|-1.0|0.998|-2.5|0.984|-3.3|1.000|-1.9|0.978|-2.3|,0.0,0.0,0.0,0.0,0.035948426833130785,2.0
1.011|-1.0|0.998|-2.5|0.983|-3.3|0.999|-1.9|0.978|-2.3|,0.0,0.0,0.0,0.009008306719851134,0.0,1.0
1.012|-1.0|0.999|-2.5|0.985|-3.3|1.001|-1.9|0.978|-2.3|,0.0,0.0,0.0,0.0,2.4308298447977e-05,1.0
1.013|-1.0|1.000|-2.5|0.986|-3.3|1.001|-1.9|0.978|-2.3|,0.0,0.09764892620650052,0.0,0.0,0.0,6.0
1.013|-1.0|1.000|-2.5|0.985|-3.3|1.001|-1.9|0.978|-2.3|,0.0,0.035992862442221336,0.0,0.1246425477707197,0.0,5.0
1.012|-1.0|0.998|-2.5|0.984|-3.3|1.000|-1.9|0.978|-2.3|,0.0,0.0,0.0,0.0,0.2472138480817621,8.0
1.013|-1.0|0.999|-2.5|0.985|-3.3|1.000|-1.9|0.978|-2.3|,0.24686687919236655,0.0,0.0,0.0,-2.0192497339621694e-05,8.0
1.014|-1.0|1.000|-2.5|0.986|-3.3|1.001|-1.9|0.978|-2.4|,0.0,0.0,0.0,2.0127393347877388e-05,0.0,1.0
1.014|-1.1|1.001|-2.5|0.987|-3.3|1.001|-1.9|0.979|-2.4|,0.0,0.0,0.0,0.0,3.377910676732654e-05,1.0
1.015|-1.1|1.002|-2.5|0.988|-3.3|1.002|-1.9|0.979|-2.4|,0.0,-6.069075118375624e-06,0.0,0.0,0.018032339997888187,2.0
1.015|-1.1|1.001|-2.5|0.987|-3.3|1.002|-1.9|0.979|-2.4|,0.0,0.0,0.0,0.0,6.983925239580913e-06,1.0
1.016|-1.1|1.002|-2.5|0.988|-3.3|1.003|-1.9|0.979|-2.4|,0.0,0.0,0.3904669685852721,0.0,0.0,10.0
1.016|-1.1|1.002|-2.5|0.988|-3.3|1.002|-1.9|0.979|-2.4|,0.0,0.0,0.0,0.0,-2.521979878963521e-05,1.0
1.017|-1.1|1.003|-2.6|0.989|-3.3|1.003|-1.9|0.980|-2.4|,0.0,0.009004592064505356,1.0311993985388077,0.0,0.0,17.0
