,-1,-0.3,0,0.3,1,MEMO
1.009|-1.8|0.997|-2.7|0.984|-2.4|,0,-5.99E-06,-1.48E-06,-5.50E-06,-1.63E-05,5
1.010|-1.8|0.998|-2.8|0.985|-2.4|,2.56E-05,0,0,0,0,11
1.009|-1.8|0.998|-2.8|0.984|-2.4|,0,1.41E-05,0,0,0,176
1.009|-1.8|0.998|-2.7|0.984|-2.3|,2.57E-05,0,0,-3.72E-06,-2.39E-05,3
1.010|-1.8|0.998|-2.8|0.984|-2.4|,0,0,0,-2.69E-06,0,9
1.008|-1.7|0.997|-2.7|0.984|-2.3|,5.10E-06,0,0,0,-9.12E-06,1
1.007|-1.7|0.997|-2.7|0.983|-2.3|,-1.59E-06,-1.28E-07,6.58E-05,2.66E-08,-5.15E-06,4
1.006|-1.7|0.997|-2.7|0.983|-2.3|,-6.99E-06,-8.82E-07,2.15E-05,-7.80E-07,-2.71E-08,19
1.005|-1.6|0.996|-2.7|0.982|-2.3|,0,0,0,8.73E-06,0,1
1.005|-1.7|0.996|-2.7|0.982|-2.3|,-1.92E-05,-3.22E-06,2.82E-07,1.40E-06,0.000308389,1
1.008|-1.7|0.997|-2.7|0.983|-2.3|,9.63E-06,0,0,0,-7.42E-06,3
1.006|-1.7|0.996|-2.7|0.983|-2.3|,-3.92E-05,-0.00011431,-0.000250529,-7.06E-05,-0.000105499,1
1.008|-1.7|0.996|-2.7|0.983|-2.3|,4.21E-06,0,0,0,0,3
1.007|-1.7|0.996|-2.7|0.984|-2.3|,3.50E-06,0,0,-6.54E-07,0,3
1.006|-1.7|0.996|-2.7|0.984|-2.3|,-3.06E-07,-1.25E-07,-8.83E-08,-7.60E-07,-5.92E-06,13
1.006|-1.7|0.995|-2.7|0.984|-2.3|,0,6.00E-07,-2.45E-07,0,0,10
1.005|-1.7|0.995|-2.7|0.983|-2.3|,2.29E-06,-9.02E-06,-3.15E-07,0.00018931,4.05E-06,23
1.007|-1.7|0.995|-2.7|0.984|-2.3|,0,1.13E-06,0,0,0,8
1.006|-1.7|0.996|-2.8|0.983|-2.3|,2.18E-05,-8.67E-05,-0.000109515,-5.98E-06,-4.84E-06,13
1.007|-1.7|0.997|-2.8|0.983|-2.3|,1.57E-05,0,0,0,0,1
1.006|-1.7|0.997|-2.8|0.983|-2.3|,-4.98E-06,-9.55E-05,-8.27E-05,-7.40E-06,-1.51E-05,101
1.004|-1.7|0.995|-2.7|0.982|-2.3|,0,0,0,8.29E-06,0,6
1.004|-1.7|0.996|-2.7|0.982|-2.3|,0,0,0,2.48E-06,-7.76E-05,1
1.006|-1.7|0.996|-2.8|0.982|-2.3|,-5.50E-07,-1.97E-07,-8.21E-07,0.000156363,-7.03E-07,1
1.007|-1.7|0.996|-2.8|0.983|-2.3|,9.27E-06,0,-4.12E-08,-1.59E-06,0,4
1.005|-1.7|0.996|-2.7|0.983|-2.3|,-1.32E-05,-1.75E-06,-2.15E-06,-8.75E-06,0.000116359,1
1.007|-1.7|0.996|-2.8|0.983|-2.4|,2.62E-05,0,-5.30E-07,-1.33E-06,-7.20E-06,1
1.007|-1.7|0.996|-2.8|0.984|-2.4|,0,2.23E-06,0,0,0,1
1.008|-1.8|0.997|-2.8|0.984|-2.4|,0,1.01E-05,0,0,0,2
1.007|-1.7|0.997|-2.8|0.984|-2.4|,2.83E-06,7.47E-06,0,-2.77E-06,0,1
1.007|-1.7|0.997|-2.8|0.983|-2.4|,0,5.24E-06,0,0,-9.13E-06,1
1.008|-1.7|0.997|-2.8|0.984|-2.4|,6.50E-06,0,0,0,0,41
1.006|-1.7|0.996|-2.8|0.983|-2.4|,0,1.34E-06,0,0,-4.56E-06,97
1.007|-1.8|0.996|-2.8|0.983|-2.4|,1.97E-05,0,-3.16E-06,-3.32E-06,-1.21E-05,11
1.008|-1.8|0.996|-2.8|0.984|-2.4|,1.86E-05,0,0,-1.36E-05,0,66
1.007|-1.8|0.996|-2.8|0.984|-2.4|,0,9.88E-06,0,0,-1.13E-05,10
1.006|-1.7|0.995|-2.8|0.983|-2.4|,0,6.80E-06,0,-4.18E-06,-7.11E-06,1
1.007|-1.7|0.995|-2.8|0.983|-2.4|,0,5.52E-06,0,0,0,5
1.006|-1.7|0.995|-2.8|0.983|-2.3|,6.43E-06,0,0,0,0,10
1.007|-1.7|0.997|-2.8|0.984|-2.3|,-5.22E-06,0,0,0,0,1
1.005|-1.7|0.997|-2.8|0.982|-2.3|,-4.68E-05,-6.92E-05,0.000336693,-0.000171194,-1.03E-05,1
